SCHEME_CODE,SCHEME_NAME,SCHEME_TYPE,COMPANY_ID,LAUNCH_DATE
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,INF00XX01879,810,
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,INF00XX01838,810,
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,INF00XX01846,810,
123690,Kotak Banking and PSU Debt - Growth,INF174K01FO3,1061,
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01FQ8,1061,
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,INF174K01KI5,1061,
123693,Kotak Banking and PSU Debt Direct - Growth,INF174K01KH7,1061,
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01KK1,1061,
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,INF767K01GJ2,1015,
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,INF767K01GI4,1015,
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,INF767K01GK0,1015,
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,INF767K01GL8,1015,
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,INF767K01519,1015,
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,INF767K01535,1015,
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,INF767K01543,1015,
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,INF767K01568,1015,
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,INF769K01FY9,1000,
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,INF769K01FX1,1000,
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,INF769K01FV5,1000,
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,INF769K01FU7,1000,
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,INF204KA1U79,1062,
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,INF204KA1U12,1062,
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,INF204KA1U53,1062,
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,INF204KA1V37,1062,
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,INF204KA1U95,1062,
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,INF204KA1V11,1062,
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,INF204KA1T72,1062,
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,INF204KA1U38,1062,
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,INF204KA1T98,1062,
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,INF204KA1U61,1062,
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,INF204KA1T64,1062,
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,INF204KA1T56,1062,
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),-,1063,
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,INF200K01V08,1063,
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01V40,1063,
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01V32,1063,
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,INF200K01U41,1063,
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),-,1063,
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01U82,1063,
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),INF200K01U74,1063,
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,INF903J017I5,1042,
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,INF903J012J4,1042,
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,INF903J019I1,1042,
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,INF903J016I7,1042,
